Date_ymd,mean_temp,max_temp,min_temp,mean_pH,max_pH,min_pH,mean_SpCond,max_SpCond,min_SpCond,mean_Turbidity,max_Turbidity,min_Turbidity,mean_CHLa,max_CHLa,min_CHLa,mean_ODOsat,max_ODOsat,min_ODOsat,mean_ODOmgL,max_ODOmgL,min_ODOmgL
2013-05-28,23.206875,24.75,21.81,7.925833333333333,8.55,7.43,168.5,176,162,39.192708333333336,92.2,21.9,23.123958333333334,30,16.7,114.871875,137.4,97.5,9.704630218736021,11.37002150956426,8.473470344903319
2013-05-29,24.7171875,26.9,23.14,8.192395833333332,8.79,7.45,170.69791666666666,177,165,39.0125,77.5,22.8,27.834375,32.5,21.4,123.40416666666667,153.5,97.7,10.120229651181873,12.10435013824319,8.217171736796042
2013-05-30,25.796145833333334,28.2,24.25,8.360625,8.92,7.74,175.69791666666666,180,171,30.672916666666666,47.7,14.4,26.625,31.8,23,129.165625,164.9,101.2,10.377919393228916,12.688093896127631,8.302342697511863
2013-05-31,26.80782608695652,29.2,25.29,8.497391304347826,8.97,7.76,181.1304347826087,187,177,29.194565217391304,53.9,15.6,23.839130434782607,30.2,21.2,134.65,157.7,108.9,10.616950667471146,11.907416237909375,8.803539893534284
2013-06-01,27.527291666666667,29.77,26.13,8.592708333333333,8.92,7.89,184.72916666666666,190,181,30.446875,53.5,17.6,22.8,28,19.4,126.77395833333333,142.1,101.6,9.86738860287112,10.962802656213748,8.101761370705017
2013-06-02,27.200416666666666,28.39,26.05,8.443645833333333,8.87,7.66,187.78125,192,185,37.40833333333333,80.6,12.5,24.585416666666667,32,20.1,114.95416666666667,134,88.9,9.00740191347122,10.273650560248463,7.120053771074594
2013-06-03,26.577708333333334,27.85,25.45,8.3925,8.97,7.52,188.07291666666666,191,182,27.523958333333333,44.9,12.9,22.055208333333333,29.2,17.4,111.85416666666667,145.1,84.3,8.865588381831744,11.254167675650505,6.833073770089828
2013-06-04,26.786770833333332,28.39,25.25,8.496354166666666,8.95,7.99,193.10416666666666,198,186,21.682291666666668,36,9.1,17.216666666666665,19.7,14.2,121.06770833333333,151.5,99.8,9.553766884426665,11.615358655803297,8.031918590393683
2013-06-05,26.876354166666665,28.44,25.49,8.548125,8.94,8.12,198.11458333333334,203,191,34.322916666666664,377.1,9.3,16.991666666666667,20.6,12.8,125.56770833333333,149.5,105.7,9.893007601201292,11.579854916800139,8.531838771972103
2013-06-06,25.595,26.59,24.82,8.4453125,8.73,8.04,197.54166666666666,203,190,29.617708333333333,219.1,10.3,20.388541666666665,24.6,16.1,112.678125,126.1,97.6,9.105044341951945,10.116706041133584,7.979440499999999
2013-06-07,24.602395833333333,25.36,22.22,7.9425,8.46,6.53,186.65625,199,101,25.121875,88.1,11.4,20.109375,22.3,15.3,97.78541666666666,109.5,71,8.051185619669424,8.914757107348478,6.126635650470162
2013-06-08,24.809375,26.86,23.29,7.735416666666667,8.18,7.24,193.92708333333334,209,160,22.091666666666665,50.1,10.1,15.50625,18.4,11.7,98.51770833333333,122,82.8,8.06437885671272,9.655041981975316,6.9843242022598595
2013-06-09,25.9446875,26.78,24.55,7.834583333333334,8.39,7.07,187.97916666666666,204,137,21.953125,61.8,8.6,15.8375,21.4,10.5,107.55104166666666,128.7,80.2,8.624957749243546,10.194923087850366,6.6073612096278715
2013-06-10,25.694166666666668,26.43,24.62,7.729791666666666,8.32,7.3,164.44791666666666,184,147,26.678125,45,17.1,17.559375,23.7,9.9,103.70520833333333,121,83.7,8.362750640285586,9.646921424586209,6.8012911478617735
2013-06-11,25.193645833333335,26.69,23.84,7.653125,8.09,7.14,146.55208333333334,156,133,34.96875,59.6,22.2,15.186458333333333,21.4,11.9,100.82708333333333,115.9,88.6,8.20574367580492,9.221064241551368,7.352769877859447
